trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.01, 'e': 0.3499377491111553}",25,0,-31.20070823006606,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.3464558103300574}",25,0,-55.16663629409324,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
107,False,"{'a': 0.01, 'e': 0.34300851741870664}",20,10,13.229187451118534,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.3395955256449391}",25,0,7.574954461084621,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.33621649370673334}",20,5,10.188214549746306,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.33287108369807955}",25,0,-3.3447829270575133,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.32955896107518906}",30,8,-0.552918252028727,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.32627979462303947}",35,16,-43.846663418771136,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.3230332564222529}",20,15,2.173827188368728,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.31981902181630384}",25,0,-55.10657356447186,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
115,False,"{'a': 0.01, 'e': 0.31663676937905316}",20,0,-28.257330893733872,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
116,False,"{'a': 0.01, 'e': 0.3134861808826053}",25,2,10.752898024231017,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.31036694126548503}",25,0,-83.40896664475633,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
118,False,"{'a': 0.01, 'e': 0.30727873860113125}",20,9,-24.539461510839924,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.3042212640667041}",20,0,-35.67828403499014,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
120,False,"{'a': 0.01, 'e': 0.30119421191220214}",25,14,-27.57552589395377,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.2981972794298874}",25,0,2.941364983422989,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
122,False,"{'a': 0.01, 'e': 0.2952301669240142}",35,0,-67.4140207379833,"{0: 31, 1: 0, 2: 2, 3: 0, 4: 2}",0
