trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-88.96531786588012,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",30,0,-149.80175286705543,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",20,0,-86.59994514932758,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",1
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,0,-39.38773940049554,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,5,-37.49795843313227,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",25,0,-69.04867184558024,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",25,9,1.531464820989696,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.01, 'e': 0.794533602503334}",20,0,-109.64052046141944,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",20,0,-134.8075772477136,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",20,0,-100.92097649726753,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,3,-48.3905829168966,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",30,22,10.26410243765286,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",25,0,-179.69880008859346,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",20,0,-68.3292349302634,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
